SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
DAIRY FARM,BUKIT PANJANG,WEST REGION,498,1031,51,0,0,0,285345,95843,0,109664,1120,508,893,166,201,98,562,3363
PASIR RIS DRIVE,PASIR RIS,EAST REGION,2964,11394,299,461912,2417,2417,0,0,78904,0,1181,194,2148,2694,1366,176,123,14820
TAMPINES NORTH,TAMPINES,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,7343
CHENG SAN,ANG MO KIO,NORTH-EAST REGION,1660,3354,397,345885,3211,3211,0,0,0,0,540,284,928,1699,627,17,485,7703
ANG MO KIO TOWN CENTRE,ANG MO KIO,NORTH-EAST REGION,364,607,66,0,0,0,0,140708,0,0,427,274,322,799,193,43,846,4203
KEBUN BAHRU,ANG MO KIO,NORTH-EAST REGION,1044,2769,403,219614,0,0,59604,31114,0,0,455,88,799,1647,464,46,679,6610
SERANGOON NORTH IND ESTATE,SERANGOON,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,4025
TENGAH,TENGAH,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,3100
SERANGOON NORTH,SERANGOON,NORTH-EAST REGION,929,2854,78,109809,0,0,0,0,0,0,486,41,710,876,421,74,714,7444
PASIR RIS CENTRAL,PASIR RIS,EAST REGION,2321,5019,118,202927,0,0,0,222200,0,76808,1816,703,1691,909,849,254,668,12314
GOMBAK,BUKIT BATOK,WEST REGION,824,1325,98,0,0,0,148050,17402,0,32403,781,177,754,400,371,78,666,4537
PLAB,PAYA LEBAR,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,1298
PAYA LEBAR NORTH,PAYA LEBAR,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,38,0,3766,0,0,513,433
HOUGANG EAST,HOUGANG,NORTH-EAST REGION,1933,4193,141,64052,0,0,0,50733,0,0,621,98,956,976,536,51,405,8723
LORONG HALUS,HOUGANG,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,2262
KANGKAR,HOUGANG,NORTH-EAST REGION,2255,4055,304,86025,7502,7502,51018,195510,135017,106139,1255,500,1507,1877,756,145,290,7647
SEMBAWANG HILLS,ANG MO KIO,NORTH-EAST REGION,324,1078,131,0,0,0,675198,0,0,102588,1086,78,1093,515,181,103,887,4620
JELEBU,BUKIT PANJANG,WEST REGION,1595,5554,230,150516,0,0,129010,144603,0,140923,1407,451,1397,552,763,235,668,8170
KEAT HONG,CHOA CHU KANG,WEST REGION,3592,5802,107,86519,0,0,0,78603,0,42049,499,136,934,690,968,129,617,6749
HOUGANG WEST,HOUGANG,NORTH-EAST REGION,2008,7971,398,184830,0,0,0,0,0,0,571,197,1251,2428,941,30,234,12115
PAYA LEBAR WEST,PAYA LEBAR,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,668,512
BANGKIT,BUKIT PANJANG,WEST REGION,1178,3991,294,83051,0,0,0,24618,56101,0,458,30,725,600,531,76,470,6331
LORONG HALUS NORTH,SENGKANG,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,3456
PENG SIANG,CHOA CHU KANG,WEST REGION,2604,5779,120,93423,12006,12006,0,0,0,0,434,88,893,866,963,86,487,7362
PASIR RIS WEST,PASIR RIS,EAST REGION,2067,6463,194,170885,0,0,233452,166789,75019,0,1738,510,1843,1402,1043,270,291,7256
YIO CHU KANG WEST,ANG MO KIO,NORTH-EAST REGION,1414,3251,268,230581,4801,4801,0,173215,60611,45114,1271,364,1258,1051,709,137,700,6037
TRAFALGAR,HOUGANG,NORTH-EAST REGION,2581,6390,262,109809,4511,4511,175792,148218,0,2639006,1018,298,1713,2093,1271,110,525,11547
TECK WHYE,CHOA CHU KANG,WEST REGION,1249,4631,162,98620,0,0,0,16651,0,0,204,151,599,575,554,40,464,7504
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,1219,3729,103,72660,0,0,0,242258,52568,0,1156,433,915,538,607,231,462,6788
CHANGI WEST,CHANGI,EAST REGION,205,156,0,0,0,0,124463,0,0,0,57,19,135,322,109,0,731,4200
FAJAR,BUKIT PANJANG,WEST REGION,2659,4490,129,205889,4509,4509,0,0,0,0,306,32,860,399,1026,69,682,6609
SENJA,BUKIT PANJANG,WEST REGION,2278,2461,109,20774,4506,4506,0,0,0,0,434,182,698,218,859,93,587,5508
WATERWAY EAST,PUNGGOL,NORTH-EAST REGION,7476,3968,107,0,4506,4506,0,0,108139,0,893,298,2012,361,1938,37,282,6827
GALI BATU,SUNGEI KADUT,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,9543,0,0,876,2261
SPRINGLEAF,YISHUN,NORTH REGION,260,742,53,0,0,0,494212,0,0,92391,691,57,747,342,97,37,583,2056
PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION,3016,1440,25,0,0,0,0,0,0,0,276,46,733,135,673,7,617,3868
NEE SOON,YISHUN,NORTH REGION,119,140,28,0,0,0,39850,16206,0,24790,119,0,109,140,45,0,632,549
PUNGGOL CANAL,PUNGGOL,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,1274
CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,1143
SELETAR,SELETAR,NORTH-EAST REGION,0,16,0,0,0,0,0,0,0,0,0,39,58,0,15,12,640,1858
PULAU SELETAR,SIMPANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0
ADMIRALTY,SEMBAWANG,NORTH REGION,1421,1706,61,41532,0,0,0,0,0,0,244,69,404,574,588,39,566,3292
LIM CHU KANG,LIM CHU KANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,17,37,0,0,676,0
SIMPANG NORTH,SIMPANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,9910,0,0,964,1979
SENOKO SOUTH,SEMBAWANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,8221,0,0,990,3023
SEMBAWANG NORTH,SEMBAWANG,NORTH REGION,2301,3305,68,145330,0,0,0,0,0,0,424,61,707,8956,1122,63,630,4518
TANJONG IRAU,SIMPANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,53
PANG SUA,SUNGEI KADUT,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,8526,0,0,750,795
SELETAR AEROSPACE PARK,SELETAR,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,951,1568
KHATIB,YISHUN,NORTH REGION,502,1858,70,15580,4514,4514,0,0,0,0,196,63,327,386,223,34,621,3894
MANDAI WEST,MANDAI,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,1284
CONEY ISLAND,PUNGGOL,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,20
YISHUN SOUTH,YISHUN,NORTH REGION,2064,6482,359,242202,0,0,0,39314,0,74319,923,327,1296,1794,880,97,586,9328
LOWER SELETAR,YISHUN,NORTH REGION,2166,2147,30,0,0,0,0,41747,21396,0,385,191,616,290,447,65,759,2832
NORTHSHORE,PUNGGOL,NORTH-EAST REGION,0,55,25,0,0,0,99552,0,0,0,0,56,58,35,0,0,545,1395
MANDAI ESTATE,MANDAI,NORTH REGION,137,343,27,0,0,0,103069,57265,0,49308,244,44,208,343,74,25,948,3707
YISHUN CENTRAL,YISHUN,NORTH REGION,76,290,16,0,0,0,0,0,0,0,31,0,49,59,44,0,721,5833
PULAU PUNGGOL TIMOR,SELETAR,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,15095,0,0,574,474
TURF CLUB,SUNGEI KADUT,NORTH REGION,55,109,26,0,0,0,137112,0,0,0,80,36,140,1606,11,19,761,1224
WOODLANDS SOUTH,WOODLANDS,NORTH REGION,3703,5498,50,269889,4506,4506,0,0,190937,0,751,80,1387,1434,1640,147,369,8692
WOODGROVE,WOODLANDS,NORTH REGION,1902,6740,167,245662,1517,1517,185392,226499,0,14414,950,865,1279,2946,906,177,285,7171
YISHUN EAST,YISHUN,NORTH REGION,6829,7716,126,129766,12004,12004,0,15614,104708,0,771,180,1817,2109,2167,65,0,9403
WESTERN WATER CATCHMENT,WESTERN WATER CATCHMENT,WEST REGION,65,96,24,0,0,0,0,0,0,0,144,880,141,17755,30,0,599,2043
PULAU PUNGGOL BARAT,SELETAR,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,487
YISHUN WEST,YISHUN,NORTH REGION,3200,8098,522,186848,4502,4502,0,110861,101267,0,874,631,1441,3314,1367,131,0,10492
WOODLANDS REGIONAL CENTRE,WOODLANDS,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,552,3971
NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,777,206
MANDAI EAST,MANDAI,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,2671
SIMPANG SOUTH,SIMPANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,2699
NORTHLAND,YISHUN,NORTH REGION,1638,4775,121,31149,0,0,0,0,0,0,180,180,621,2426,749,46,547,7399
MIDVIEW,WOODLANDS,NORTH REGION,2724,6823,75,233553,3762,3762,0,0,0,0,429,0,815,1994,1023,125,322,8790
WOODLANDS WEST,WOODLANDS,NORTH REGION,1826,5417,225,164016,4503,4503,0,0,0,0,137,39,496,1841,725,44,424,6322
SEMBAWANG SPRINGS,SEMBAWANG,NORTH REGION,315,672,136,0,0,0,263706,103442,19955,168313,627,133,523,965,180,83,606,3920
KRANJI,SUNGEI KADUT,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,9872,0,0,508,1989
RESERVOIR VIEW,SUNGEI KADUT,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,8218,0,0,695,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,7522,14951,94,254326,9002,9002,0,0,213010,0,988,288,2204,8605,3162,271,0,14365
SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION,2243,4024,100,326986,0,0,0,0,73012,27615,758,150,995,1493,1065,133,559,6891
GREENWOOD PARK,WOODLANDS,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,4029
SEMBAWANG EAST,SEMBAWANG,NORTH REGION,665,984,14,0,0,0,0,0,0,0,9,0,99,30,110,6,858,3243
SENOKO WEST,WOODLANDS,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,8612,0,0,521,3086
PASIR RIS PARK,PASIR RIS,EAST REGION,739,809,11,0,0,0,507315,168287,93844,74489,736,462,529,269,348,101,843,5205
CHOA CHU KANG NORTH,CHOA CHU KANG,WEST REGION,1563,6346,139,145330,9001,9001,0,0,66012,0,1272,171,1170,601,856,323,295,8023
RIVERVALE,SENGKANG,NORTH-EAST REGION,4641,8598,215,256328,0,0,56405,103409,157918,0,1840,1123,2597,980,2104,249,148,12132
CHANGI AIRPORT,CHANGI,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,21,0,3733,0,0,517,632
YIO CHU KANG NORTH,ANG MO KIO,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,1171
CHANGI POINT,CHANGI,EAST REGION,27,110,31,0,0,0,0,0,0,0,0,35,49,164,26,0,847,810
SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,5631,8588,247,245649,2410,2410,45249,90042,0,58818,1992,1442,2608,1231,2148,195,7,13626
ANCHORVALE,SENGKANG,NORTH-EAST REGION,5305,4484,94,149523,4805,4805,0,0,87810,0,1263,656,2030,555,1795,55,514,10214
SENGKANG WEST,SENGKANG,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,1927
FERNVALE,SENGKANG,NORTH-EAST REGION,7731,4896,278,0,4803,4803,168718,61615,107919,69963,1214,298,2183,1066,2414,77,104,8731
PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION,4594,4899,169,166088,0,0,0,84462,95812,0,1864,1691,2456,508,2397,163,197,10240
YEW TEE,CHOA CHU KANG,WEST REGION,2826,6299,123,332178,0,0,0,38815,150317,0,1414,367,1518,1164,1438,241,529,7069
PASIR RIS WAFER FAB PARK,PASIR RIS,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,2896
MATILDA,PUNGGOL,NORTH-EAST REGION,7730,3851,86,0,10514,10514,0,114704,201014,0,1578,761,2309,435,2026,96,538,9684
NORTH COAST,WOODLANDS,NORTH REGION,725,2216,109,83054,0,0,0,0,0,0,32,18,210,7468,241,11,725,3205
SEMBAWANG STRAITS,SEMBAWANG,NORTH REGION,139,295,44,0,0,0,184965,0,0,38255,217,0,292,329,59,21,602,193
THE WHARVES,SEMBAWANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,1247
SENOKO NORTH,SEMBAWANG,NORTH REGION,0,0,0,0,0,0,0,0,0,0,0,42,0,4805,0,0,934,861
