SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
MONK'S HILL,NEWTON,CENTRAL REGION,74,135,35,0,0,0,106205,34212,0,96618,173,198,179,610,53,0,703,238
SIGLAP,BEDOK,EAST REGION,263,815,153,0,0,0,0,0,0,403709,653,612,946,113,162,127,810,5155
CLEMENTI WOODS,CLEMENTI,WEST REGION,1275,1873,228,22562,0,0,131840,176111,0,22212,989,1032,1030,207,468,113,513,4772
FORT CANNING,MUSEUM,CENTRAL REGION,42,11,0,0,0,0,0,48613,0,29787,0,131,58,49,0,0,527,0
MARINA EAST (MP),MARINE PARADE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,1295
MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,785,0
BRAS BASAH,MUSEUM,CENTRAL REGION,0,0,0,0,0,0,88208,0,0,0,0,33,0,0,0,0,721,0
OXLEY,RIVER VALLEY,CENTRAL REGION,120,169,53,0,0,0,258977,123709,0,229517,268,465,331,152,32,0,682,206
CITY HALL,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,303001,0,114001,0,851,0,0,0,0,599,0
MEI CHIN,QUEENSTOWN,CENTRAL REGION,720,2152,422,34756,0,0,60841,286808,0,0,970,1243,1151,446,361,81,818,3901
LEONIE HILL,RIVER VALLEY,CENTRAL REGION,189,301,37,0,0,0,78011,300840,0,290337,594,1677,854,172,67,14,666,389
PORT,QUEENSTOWN,CENTRAL REGION,0,59,0,0,0,0,78003,0,0,35666,0,21,33,75,0,0,861,342
DHOBY GHAUT,MUSEUM,CENTRAL REGION,42,25,0,0,0,0,0,30012,0,619216,72,301,21,0,0,0,811,0
BUGIS,DOWNTOWN CORE,CENTRAL REGION,26,95,28,0,0,0,0,73205,0,94514,49,150,54,131,14,0,824,194
VICTORIA,ROCHOR,CENTRAL REGION,64,218,54,0,0,0,0,0,0,1314374,91,132,94,225,21,13,673,153
PATERSON,RIVER VALLEY,CENTRAL REGION,51,21,0,0,0,0,0,94713,0,0,59,271,85,0,0,0,584,0
TUAS BAY,TUAS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,606,28
JOO KOON,PIONEER,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,4026,0,0,632,13
KALLANG WAY,GEYLANG,CENTRAL REGION,0,0,0,0,0,0,0,0,0,22029,20,100,0,564,0,0,712,2484
INTERNATIONAL BUSINESS PARK,JURONG EAST,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,948,1169
TUKANG,BOON LAY,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,71,0,909,0,0,809,762
CORONATION ROAD,BUKIT TIMAH,CENTRAL REGION,499,735,134,0,0,0,1312222,151665,0,270535,1300,976,1599,96,260,163,671,1809
KEMBANGAN,BEDOK,EAST REGION,2279,5451,707,100668,0,0,1339046,185702,0,464869,2327,992,2782,3229,749,153,301,13810
KATONG,MARINE PARADE,CENTRAL REGION,749,1128,223,0,0,0,889450,142316,0,494009,1452,597,1294,1607,302,81,794,5862
HOLLAND DRIVE,QUEENSTOWN,CENTRAL REGION,605,1539,383,0,0,0,0,0,0,0,593,179,688,271,208,27,848,3821
FARRER PARK,ROCHOR,CENTRAL REGION,148,314,75,0,0,0,0,0,0,39976,79,196,137,759,86,0,498,724
NEWTON CIRCUS,NEWTON,CENTRAL REGION,50,26,0,0,0,0,0,92407,0,140410,0,175,88,0,12,0,513,127
JURONG PORT,JURONG EAST,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,57
SAMULUN,BOON LAY,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0
SHIPYARD,BOON LAY,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,99
GHIM MOH,QUEENSTOWN,CENTRAL REGION,944,1492,306,0,3609,3609,0,0,0,0,396,55,591,272,318,65,752,3322
LAVENDER,KALLANG,CENTRAL REGION,550,1148,220,0,0,0,0,215440,0,240602,640,882,566,3170,220,26,742,2460
GOODWOOD PARK,NEWTON,CENTRAL REGION,132,117,49,0,0,0,165716,136114,0,73368,248,345,310,46,55,0,799,320
PANDAN,CLEMENTI,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,959,1232
SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION,39,33,0,0,0,0,0,0,0,0,0,41,0,0,18,0,622,2227
CLEMENTI CENTRAL,CLEMENTI,WEST REGION,731,1481,256,94765,0,0,0,73662,0,18600,690,513,713,763,369,72,400,4808
KAMPONG JAVA,KALLANG,CENTRAL REGION,609,1249,251,11281,0,0,191640,54602,0,269714,713,599,824,2129,251,48,876,3313
BOON KENG,KALLANG,CENTRAL REGION,696,1476,326,0,5116,5116,0,0,0,26409,367,13,538,1560,257,27,645,3603
KALLANG BAHRU,KALLANG,CENTRAL REGION,0,0,0,0,0,0,0,0,0,86906,0,137,0,880,0,0,624,2051
ULU PANDAN,BUKIT TIMAH,CENTRAL REGION,719,1432,167,0,0,0,1614551,232203,0,675336,1939,1541,2212,62,338,112,688,3148
FARRER COURT,BUKIT TIMAH,CENTRAL REGION,585,658,115,0,0,0,480675,208593,0,110815,984,1144,1081,76,238,70,864,1358
TUAS VIEW,TUAS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,31,0,11777,0,0,645,86
NASSIM,TANGLIN,CENTRAL REGION,836,903,146,0,0,0,1829892,850583,0,6185352,2028,2223,2661,77,351,56,696,1372
WEST COAST,CLEMENTI,WEST REGION,540,753,31,0,0,0,238466,265667,0,0,1157,706,836,320,261,86,543,2478
BAYSHORE,BEDOK,EAST REGION,618,679,97,0,0,0,267063,417859,0,234403,1358,1981,1281,54,261,71,451,5872
BENOI SECTOR,PIONEER,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,23,0,393,0,0,964,0
GUL CIRCLE,PIONEER,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,18,0,2312,0,0,822,151
ALJUNIED,GEYLANG,CENTRAL REGION,1965,5012,796,92120,4817,4817,419177,371568,0,628231,1997,1363,2124,14928,958,125,605,8289
TYERSALL,TANGLIN,CENTRAL REGION,300,412,62,0,0,0,520761,197498,0,381872,763,1176,1136,14,102,29,919,1132
MOULMEIN,NOVENA,CENTRAL REGION,957,873,117,0,0,0,835992,678040,0,558040,2058,2864,1911,286,460,113,848,2258
LIU FANG,BOON LAY,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,978,714
FRANKEL,BEDOK,EAST REGION,2563,4168,732,0,0,0,3537662,454677,0,1371970,5863,2045,5638,2817,1172,288,471,12217
CLEMENTI NORTH,CLEMENTI,WEST REGION,2014,3345,670,298926,0,0,0,0,0,0,857,482,1171,742,692,76,241,6238
LEEDON PARK,BUKIT TIMAH,CENTRAL REGION,459,784,105,0,0,0,2143939,233517,0,533664,1487,1648,2145,100,153,65,712,2182
GEYLANG EAST,GEYLANG,CENTRAL REGION,1881,4323,578,39489,4811,4811,965716,163129,0,723319,1943,883,2093,4397,777,90,359,9834
TEBAN GARDENS,JURONG EAST,WEST REGION,1417,2484,203,26705,0,0,0,0,0,0,171,68,551,1574,563,26,457,3453
JURONG RIVER,JURONG EAST,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,29973,0,0,538,1270
GEYLANG BAHRU,KALLANG,CENTRAL REGION,591,1452,297,33843,0,0,0,0,0,0,128,146,374,988,287,24,506,4040
FABER,CLEMENTI,WEST REGION,465,707,67,0,0,0,404293,92411,0,112762,951,404,711,286,234,67,618,2472
MALCOLM,NOVENA,CENTRAL REGION,246,292,87,0,0,0,643821,27402,0,180617,558,479,803,53,113,83,900,2061
BEDOK SOUTH,BEDOK,EAST REGION,2683,6697,983,82357,0,0,1679712,259377,0,274389,3378,1166,4260,2814,1074,205,438,15434
BENDEMEER,KALLANG,CENTRAL REGION,2582,4185,662,56402,5119,5119,267728,100802,0,263637,1728,750,1805,3081,889,113,254,7361
BALESTIER,NOVENA,CENTRAL REGION,2089,4004,695,22565,5113,5113,532251,348004,0,741644,2257,1294,2206,4455,824,84,239,7808
JOO SENG,TOA PAYOH,CENTRAL REGION,519,1095,172,16930,0,0,0,73899,0,67849,610,3645,549,5139,555,54,921,2536
CHIN BEE,JURONG WEST,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,639,4429
