,BUILDING_N,longitude,latitude,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE,address
35,CRESCENT GIRLS' SCHOOL,103.817544,1.293319,357,TANGLIN ROAD,247961.0,357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961
36,DOVER COURT PREPARATORY SCHOOL,103.779124,1.306266,301,DOVER ROAD,139644.0,301 DOVER ROAD DOVER COURT PREPARATORY SCHOOL SINGAPORE 139644
37,DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE,103.834145,1.281218,8,COLLEGE ROAD,169857.0,8 COLLEGE ROAD DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE SINGAPORE 169857
38,DUNMAN HIGH SCHOOL,103.882942,1.299962,10,TANJONG RHU ROAD,436895.0,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895
39,DUNMAN HIGH SCHOOL HOSTEL,103.882466,1.299686,61,KAMPONG ARANG ROAD,438181.0,61 KAMPONG ARANG ROAD DUNMAN HIGH SCHOOL HOSTEL SINGAPORE 438181
40,EIS INTERNATIONAL PRE-SCHOOL (BRANCH 1),103.899509,1.307127,7,SERAYA LANE,437275.0,7 SERAYA LANE EIS INTERNATIONAL PRE-SCHOOL (BRANCH 1) SINGAPORE 437275
41,ESSEC BUSINESS SCHOOL,103.787701,1.302886,5,NEPAL PARK,139408.0,5 NEPAL PARK ESSEC BUSINESS SCHOOL SINGAPORE 139408
42,ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,103.889747,1.305814,51,BROADRICK ROAD,439501.0,51 BROADRICK ROAD ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL SINGAPORE 439501
43,ETONHOUSE INTERNATIONAL PRE-SCHOOL (CLAYMORE),103.829991,1.30834,15,CLAYMORE ROAD,229542.0,15 CLAYMORE ROAD ETONHOUSE INTERNATIONAL PRE-SCHOOL (CLAYMORE) SINGAPORE 229542
44,ETONHOUSE INTERNATIONAL RESEARCH PRE-SCHOOL,103.886684,1.30034,718,MOUNTBATTEN ROAD,437738.0,718 MOUNTBATTEN ROAD ETONHOUSE INTERNATIONAL RESEARCH PRE-SCHOOL SINGAPORE 437738
45,ETONHOUSE PRE-SCHOOL (717 MOUNTBATTEN),103.886685,1.301141,717,MOUNTBATTEN ROAD,437737.0,717 MOUNTBATTEN ROAD ETONHOUSE PRE-SCHOOL (717 MOUNTBATTEN) SINGAPORE 437737
46,ETONHOUSE PRE-SCHOOL (NEWTON),103.841035,1.317197,39,NEWTON ROAD,307966.0,39 NEWTON ROAD ETONHOUSE PRE-SCHOOL (NEWTON) SINGAPORE 307966
47,ETONHOUSE PRE-SCHOOL (THOMSON),103.840935,1.330113,8,THOMSON LANE,297743.0,8 THOMSON LANE ETONHOUSE PRE-SCHOOL (THOMSON) SINGAPORE 297743
48,ETONHOUSE PRE-SCHOOL (VANDA ROAD),103.798237,1.331204,1,VANDA ROAD,287771.0,1 VANDA ROAD ETONHOUSE PRE-SCHOOL (VANDA ROAD) SINGAPORE 287771
49,EUNOS PRIMARY SCHOOL,103.904541,1.324476,95,JALAN EUNOS,419529.0,95 JALAN EUNOS EUNOS PRIMARY SCHOOL SINGAPORE 419529
50,FAIRFIELD METHODIST SCHOOL (PRIMARY),103.785438,1.300541,100,DOVER ROAD,139648.0,100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648
51,FAIRFIELD METHODIST SCHOOL (SECONDARY),103.7841,1.301634,102,DOVER ROAD,139649.0,102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649
52,FARRER PARK PRIMARY SCHOOL,103.850766,1.312369,2,FARRER PARK ROAD,217567.0,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567
53,FIRST TOA PAYOH PRIMARY SCHOOL,103.85553,1.340323,7,LORONG 8 TOA PAYOH,319252.0,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252
54,GAN ENG SENG PRIMARY SCHOOL,103.815547,1.285595,100,REDHILL CLOSE,158901.0,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901
55,GAN ENG SENG SCHOOL,103.823753,1.289594,1,HENDERSON ROAD,159561.0,1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561
