,BUILDING_N,longitude,latitude,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE,address
144,AVONDALE GRAMMAR SCHOOL (EARLY LEARNING YEARS CAMPUS),103.815680784231,1.29826611487664,318,TANGLIN ROAD,247979.0,318 TANGLIN ROAD AVONDALE GRAMMAR SCHOOL (EARLY LEARNING YEARS CAMPUS) SINGAPORE 247979
145,NYU TISCH SCHOOL OF THE ARTS ASIA,103.814257803885,1.29656831288548,3,KAY SIANG ROAD,248923.0,3 KAY SIANG ROAD NYU TISCH SCHOOL OF THE ARTS ASIA SINGAPORE 248923
146,CHINESE HIGH SCHOOL CLOCK TOWER BUILDING,103.803290365022,1.3263580622144,661,BUKIT TIMAH ROAD,269734.0,661 BUKIT TIMAH ROAD CHINESE HIGH SCHOOL CLOCK TOWER BUILDING SINGAPORE 269734
149,PEI CHUN PUBLIC SCHOOL,103.855585578061,1.33737358725951,16,LORONG 7 TOA PAYOH,319320.0,16 LORONG 7 TOA PAYOH PEI CHUN PUBLIC SCHOOL SINGAPORE 319320
151,GLOBAL INDIAN INTERNATIONAL SCHOOL - BALESTIER,103.852811233653,1.32863181771328,51,JALAN RAJAH,329154.0,51 JALAN RAJAH GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS) SINGAPORE 329154
152,SAINT CLARE SCHOOL,103.833361561073,1.2735979712329,102B,UPPER ALJUNIED ROAD,367881.0,10 RAEBURN PARK SAINT CLARE SCHOOL FOR SPECIAL EDUCATION SINGAPORE 088702
156,CANOSSIAN SCHOOL,103.881050911498,1.32685879628177,1,SALLIM ROAD,387621.0,1 SALLIM ROAD CANOSSIAN SCHOOL SINGAPORE 387621
157,TANJONG KATONG GIRLS' SCHOOL,103.895820094229,1.30821274627283,20,DUNMAN LANE,439272.0,20 DUNMAN LANE TANJONG KATONG GIRLS' SCHOOL SINGAPORE 439272
158,MARIS STELLA HIGH SCHOOL,103.877852484979,1.34139473351039,80,BARTLEY ROAD,539786.0,25 MOUNT VERNON ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 368051
159,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C),103.854300279284,1.34931014201944,8,BISHAN STREET 13,579793.0,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C) SINGAPORE 579793
