origin_id;destination_id;entry_cost;network_cost;exit_cost;total_cost
0;0;0.0
0;1;61.92225346286169;9061.024660153513;68.44609749404293;9191.393011110418
0;2;61.92225346286169;4995.327099269802;43.512051693200235;5100.7614044258635
0;3;61.92225346286169;228.0642097009883;31.84657496290602;321.833038126756
0;4;61.92225346286169;9935.547412653146;28.677800956169712;10026.147467072178
0;5;61.92225346286169;8139.13233050209;58.144310060253694;8259.198894025205
0;6;61.92225346286169;2533.247066773181;47.19789417688796;2642.3672144129305
0;7;61.92225346286169;462.6512096525603;31.732845380368094;556.3063084957901
0;8;61.92225346286169;423.53644461608326;49.162055688909646;534.6207537678546
0;9;61.92225346286169;6331.589033388144;74.74169918015983;6468.252986031166
0;10;61.92225346286169;2514.9204190904734;111.56152066529577;2688.4041932186306
0;11;61.92225346286169;8110.871909432063;59.68505324384127;8232.479216138767
0;12;61.92225346286169;5199.0415083885255;135.25293203631097;5396.216693887698
0;13;61.92225346286169;4960.434545309095;58.10152419430759;5080.458322966264
0;14;61.92225346286169;4045.349796037538;142.50891703752083;4249.78096653792
0;15;61.92225346286169;8711.460607659214;57.356882539373274;8830.73974366145
0;16;61.92225346286169;9143.597180020015;132.03561204547003;9337.555045528348
0;17;61.92225346286169;8979.893820635518;128.42965586120985;9170.24572995959
0;18;61.92225346286169;6532.65001693976;206.76661396764032;6801.338884370261
0;19;61.92225346286169;9262.909130542377;37.60322847900002;9362.43461248424
0;20;61.92225346286169;7939.083675744264;45.66569970111998;8046.671628908245
0;21;
0;22;61.92225346286169;10666.952579317516;80.13803441962766;10809.012867200006
0;23;61.92225346286169;7355.793983825049;57.454417915251604;7475.170655203162
0;24;61.92225346286169;7355.793983825049;57.454417915251604;7475.170655203162
0;25;61.92225346286169;7355.793983825049;57.454417915251604;7475.170655203162
0;26;61.92225346286169;7355.793983825049;57.454417915251604;7475.170655203162
0;27;61.92225346286169;6661.936022020652;111.09890560433789;6834.9571810878515
0;28;61.92225346286169;6343.034152289456;114.1109629103107;6519.067368662628
0;29;61.92225346286169;6979.833632134871;69.59869865186518;7111.354584249598
0;30;61.92225346286169;11012.634676918911;89.28792061770721;11163.844850999481
0;31;61.92225346286169;2868.4693554333985;20.872090994849227;2951.2636998911094
0;32;61.92225346286169;3040.56973121172;78.96287192772007;3181.454856602302
0;33;61.92225346286169;5220.316360378959;16.331350466356305;5298.569964308177
0;34;61.92225346286169;10396.31341601498;63.97896616778841;10522.21463564563
0;35;61.92225346286169;6492.2644265774325;116.9271097325207;6671.113789772815
0;36;61.92225346286169;9794.820398893438;59.37124568412227;9916.113898040423
0;37;61.92225346286169;5851.24436789422;55.21029466652956;5968.376916023612
0;38;61.92225346286169;11766.385194297327;76.9128703365206;11905.22031809671
0;39;61.92225346286169;11822.277530782038;55.70932094980056;11939.9091051947
0;40;61.92225346286169;10725.220638699982;39.419493124063884;10826.562385286908
0;41;61.92225346286169;8923.678399316212;54.43085198846506;9040.03150476754
0;42;61.92225346286169;10401.649261861658;37.35803008939238;10500.929545413912
0;43;61.92225346286169;2084.563338044965;33.13684480135393;2179.6224363091806
0;44;61.92225346286169;11254.549169917918;54.467264872221115;11370.938688253002
0;45;61.92225346286169;11259.85315580268;33.94434140862054;11355.719750674163
0;46;61.92225346286169;2498.4042861666508;50.886052474385096;2611.2125921038974
0;47;
0;48;61.92225346286169;6000.668384586931;23.91165767599942;6086.5022957257925
0;49;
0;50;61.92225346286169;9281.120285815776;55.88104805116871;9398.923587329808
0;51;61.92225346286169;9571.355534462593;53.33409633913491;9686.61188426459
0;52;61.92225346286169;4826.579678548669;62.37389880847079;4950.875830820001
0;53;61.92225346286169;5324.859381336541;56.878282496618226;5443.659917296021
0;54;61.92225346286169;7480.1633672042135;95.14304576705199;7637.228666434127
0;55;61.92225346286169;6674.849600327005;92.7352087611822;6829.507062551049
0;56;61.92225346286169;8612.05327710741;144.05226567835763;8818.02779624863
0;57;
0;58;61.92225346286169;8495.7801613485;108.39636679389871;8666.098781605262
0;59;61.92225346286169;8184.160733242231;84.36813893590075;8330.451125640993
0;60;61.92225346286169;3685.5929090957206;55.815802922097575;3803.33096548068
0;61;61.92225346286169;3685.5929090957206;55.815802922097575;3803.33096548068
0;62;61.92225346286169;8002.44043785062;42.84097153228165;8107.203662845763
0;63;61.92225346286169;8015.349979681995;83.3698629311829;8160.64209607604
0;64;61.92225346286169;6732.439613410602;64.04555174156845;6858.407418615032
0;65;61.92225346286169;5676.936653191961;74.14176799896485;5813.000674653787
0;66;61.92225346286169;10650.843039184665;30.259009549418018;10743.024302196945
0;67;61.92225346286169;8075.983840339196;82.71709759981182;8220.62319140187
0;68;61.92225346286169;8449.418021387677;55.82243197358326;8567.162706824123
0;69;61.92225346286169;4027.55636886101;58.9553902615517;4148.434012585423
0;70;
0;71;
